State,CountyName,Metro,RegionName,1 BR Median Price,2 BR Median Price,3 BR Median Price,4 BR Median Price,5+ BR Median Price
CA,Contra Costa County,San Francisco-Oakland-Hayward,San Ramon,500.0,600.75,860.0,975.0,0.0
CA,Contra Costa County,San Francisco-Oakland-Hayward,Walnut Creek,630.875,675.0,815.625,992.5,0.0
CA,Fresno County,Fresno,Clovis,0.0,392.3333333333333,565.0,631.6666666666666,0.0
CA,Fresno County,Fresno,Fresno,212.5,250.0,373.75,462.5,0.0
CA,Kern County,Bakersfield,Bakersfield,0.0,300.0,466.6666666666667,566.6666666666666,0.0
CA,Kern County,Bakersfield,Oildale,0.0,925.0,0.0,0.0,0.0
CA,Kern County,Bakersfield,Ridgecrest,0.0,0.0,1350.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Alhambra,533.3333333333334,650.0,833.3333333333334,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Arcadia,0.0,1125.0,1600.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Azusa,0.0,1825.0,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Bellflower,0.0,1695.0,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Beverly Hills,698.75,998.75,1625.0,0.0,6700.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Burbank,633.3333333333334,850.0,1250.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Calabasas,0.0,2485.0,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Covina,516.6666666666666,630.6666666666666,781.6666666666666,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Diamond Bar,0.0,665.0,833.3333333333334,1000.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Downey,501.8333333333333,641.6666666666666,900.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Gardena,0.0,1925.0,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Glendale,733.3333333333334,865.0,1116.6666666666667,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Glendora,0.0,1000.0,1397.5,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Hawthorne,747.5,947.5,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Hermosa Beach,910.3333333333334,1172.8333333333333,1833.3333333333333,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Inglewood,525.0,725.0,933.3333333333334,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Lakewood,0.0,1062.5,1348.75,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Lancaster,0.0,512.1666666666666,600.0,666.6666666666666,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Long Beach,330.0,420.0,539.5,549.5,472.5
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Los Angeles,468.0,599.0,759.0,852.5,899.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Malibu,2500.0,0.0,8500.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Manhattan Beach,0.0,1975.0,3112.5,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Monterey Park,0.0,945.0,1300.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Norwalk,0.0,2045.0,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Palmdale,0.0,0.0,931.0,1012.5,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Paramount,0.0,1850.0,0.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Pasadena,722.3333333333334,943.8333333333334,1200.0,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Pomona,505.3333333333333,585.8333333333334,766.6666666666666,0.0,0.0
CA,Los Angeles County,Los Angeles-Long Beach-Anaheim,Rancho Palos Verdes,0.0,967.6666666666666,1224.1666666666667,1533.3333333333333,0.0
